ID,MeasurementTitle,PlateName,WellGroupID,Compound,Dose,GraphSeriesNo,ControlType,CellName,SampleVolume,ReagentVolume,Unit,DateTime,Timepoint,ElapsedTime,Description,[Cell] Count,[Cell] (Nuclei) Area (AVG),[Cell] (Nuclei) Area (SD),[Cell] (Nuclei) X-CoordinateInWell (AVG),[Cell] (Nuclei) X-CoordinateInWell (SD),[Cell] (Nuclei) Y-CoordinateInWell (AVG),[Cell] (Nuclei) Y-CoordinateInWell (SD),[Cell] (Nuclei) MinX (AVG),[Cell] (Nuclei) MinX (SD),[Cell] (Nuclei) MaxX (AVG),[Cell] (Nuclei) MaxX (SD),[Cell] (Nuclei) MinY (AVG),[Cell] (Nuclei) MinY (SD),[Cell] (Nuclei) MaxY (AVG),[Cell] (Nuclei) MaxY (SD),[Cell] (Nuclei) Diameter (AVG),[Cell] (Nuclei) Diameter (SD),[Cell] (Nuclei) Circumference (AVG),[Cell] (Nuclei) Circumference (SD),[Cell] (Nuclei) Circularity (AVG),[Cell] (Nuclei) Circularity (SD),[Cell] (Nuclei) Compactness (AVG),[Cell] (Nuclei) Compactness (SD),[Cell] (Nuclei) Anisometry (AVG),[Cell] (Nuclei) Anisometry (SD),[Cell] (Nuclei) MeanIntensity CH1 (AVG),[Cell] (Nuclei) MeanIntensity CH1 (SD),[Cell] (Nuclei) MeanIntensity CH2 (AVG),[Cell] (Nuclei) MeanIntensity CH2 (SD),[Cell] (Foci (Nuclei)) COUNT (AVG),[Cell] (Foci (Nuclei)) COUNT (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (SD),[Cell] Focci intensity norm (AVG),[Cell] Focci intensity norm (SD)
1,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,2,NT,0,1,Test,,0,0,uM,2023-02-09 15:28:42 +01:00,1,0,,1846,305.8055,47.1218,-73.2543,646.0258,-25.6753,642.3779,98.3112,56.6074,118.6810,56.5541,98.3836,56.6098,118.8592,56.6509,23.7042,2.5231,67.7786,5.6916,0.699681,0.109632,1.205841,0.123828,1.461864,0.281631,391.0850,70.7932,785.3858,156.8710,64.62,8.43,23182.18,5422.70,17162.66,4194.03,1185.0636,206.3757,1025.6094,175.5730,77.403165,20.771667
11,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,3,NT,100,1,Test,,0,0,uM,2023-02-09 17:23:50 +01:00,1,0,,1620,268.1350,48.4233,-78.6466,609.2976,-62.2121,601.2866,98.5128,56.7969,117.7320,56.8588,99.5096,57.0294,118.6198,57.2348,22.3621,2.7561,63.7793,5.8171,0.689066,0.112166,1.220964,0.110624,1.480994,0.299064,396.4693,53.3750,570.3845,98.6032,64.62,8.68,17394.22,3029.72,13978.16,2202.99,947.5811,123.0401,854.0313,102.6825,67.373156,19.007558
10,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,4,NT,0,10,Test,,0,0,uM,2023-02-09 15:54:28 +01:00,1,0,,2398,293.0086,45.8854,40.0817,619.8624,-68.4902,615.7157,97.8967,56.1261,117.8895,56.0956,100.4358,56.6315,120.2470,56.6164,22.8105,2.3657,66.0880,5.1469,0.721347,0.105779,1.196804,0.092343,1.410154,0.252095,378.6889,50.2538,829.5452,162.5622,64.65,8.60,24504.95,5474.38,17583.34,4057.25,1231.2140,210.7545,1050.0906,173.2556,85.277000,21.441876
20,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,5,NT,100,10,Test,,0,0,uM,2023-02-09 16:56:54 +01:00,1,0,,2502,262.3834,48.9996,-76.6469,611.9143,-49.6180,615.4824,94.8686,56.9574,113.8517,57.0970,97.5137,56.7282,116.2479,56.8577,21.6995,2.5754,62.9139,6.2197,0.711893,0.101851,1.215114,0.131101,1.422607,0.250715,368.5736,49.1395,640.3098,127.8250,64.50,8.72,19619.68,3755.59,15211.99,2813.64,1034.1673,152.6065,915.1477,129.9361,78.007730,23.876466
2,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,6,siCON1 ,0,2,Test,,0,0,uM,2023-02-09 15:31:34 +01:00,1,0,,1540,295.7219,48.8911,-13.0905,616.3043,-4.3573,616.4476,95.1140,56.9473,115.0778,56.9545,95.2453,56.8013,115.3229,56.8889,22.9360,2.3753,66.6325,5.6186,0.719178,0.105369,1.206169,0.099587,1.408049,0.249515,418.1509,54.0156,860.6634,141.6205,62.89,8.33,25681.01,5446.25,18913.01,4323.18,1280.4451,202.5567,1104.8614,170.2183,88.868712,22.642003
12,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,7,siCON1 ,100,2,Test,,0,0,uM,2023-02-09 17:20:58 +01:00,1,0,,1944,247.4402,44.9485,-37.7171,602.0715,-118.0688,607.2373,98.4253,55.9798,116.9817,56.0518,100.9555,56.4001,119.5170,56.5664,21.6399,2.5280,62.1037,5.5609,0.677037,0.110759,1.256912,0.130280,1.495027,0.315494,413.5100,61.7960,639.1180,133.5215,64.27,8.58,20067.78,4374.84,15653.53,3116.82,1053.3225,175.7035,938.5837,145.4653,84.048321,24.742372
3,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,8,siCON2,0,3,Test,,0,0,uM,2023-02-09 15:34:26 +01:00,1,0,,746,324.0940,47.8531,-13.9756,560.3476,112.5559,594.5188,101.2449,57.4636,122.4596,57.3779,93.7209,56.0215,115.2473,56.2313,25.0531,2.5924,71.3520,5.9481,0.664670,0.114376,1.263491,0.160851,1.516816,0.310015,425.5925,49.2072,820.3233,156.3239,61.46,7.91,25845.73,5980.00,18381.39,4407.73,1259.7282,213.4052,1074.3695,175.4672,81.054601,20.332166
13,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,9,siCON2,100,3,Test,,0,0,uM,2023-02-09 17:18:06 +01:00,1,0,,1850,281.2655,54.4420,-20.9647,630.7531,-19.3779,627.4914,99.8487,57.6411,119.8122,57.8105,97.9683,57.2796,117.9419,57.3661,23.6556,3.1021,66.9509,6.7188,0.645314,0.112625,1.289054,0.164173,1.562462,0.349976,416.4330,58.7539,644.6131,140.6235,63.80,8.46,20929.76,4416.15,15919.67,3293.19,1077.3674,177.7762,943.5827,156.7195,78.165775,26.596656
4,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,10,siLuc,0,4,Test,,0,0,uM,2023-02-09 15:37:18 +01:00,1,0,,469,294.2354,49.1624,71.4755,559.2430,155.0797,570.2585,98.3405,60.6180,118.2882,60.4930,98.5905,58.9173,118.8075,59.0171,23.5149,2.4858,66.7239,5.5560,0.683439,0.111636,1.216401,0.112249,1.494638,0.281454,422.0079,48.2003,955.8869,137.0904,59.92,7.48,29206.62,5440.01,21841.28,5115.60,1395.5950,198.8155,1215.2101,188.5414,101.359862,22.592136
14,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,11,siLuc,100,4,Test,,0,0,uM,2023-02-09 17:15:15 +01:00,1,0,,2830,248.2695,45.3202,-37.1356,616.4851,-68.1107,636.8323,95.6183,57.0671,114.0928,57.1378,100.4135,57.2369,118.9289,57.4314,21.4474,2.5343,61.6397,5.5341,0.691282,0.110919,1.233419,0.117520,1.471295,0.299946,404.7335,59.0208,801.4854,155.0686,64.53,8.51,24878.01,4919.94,18886.88,3867.87,1241.8505,194.1468,1086.2856,174.2529,103.322658,27.363569
