ID,MeasurementTitle,PlateName,WellID,Row,Column,RowName,ColumnName,WellName,Compound,Dose,GraphSeriesNo,ControlType,CellName,SampleVolume,ReagentVolume,Unit,DateTime,Timepoint,ElapsedTime,Description,[Cell] Count,[Cell] (Nuclei) Area (AVG),[Cell] (Nuclei) Area (SD),[Cell] (Nuclei) X-CoordinateInWell (AVG),[Cell] (Nuclei) X-CoordinateInWell (SD),[Cell] (Nuclei) Y-CoordinateInWell (AVG),[Cell] (Nuclei) Y-CoordinateInWell (SD),[Cell] (Nuclei) MinX (AVG),[Cell] (Nuclei) MinX (SD),[Cell] (Nuclei) MaxX (AVG),[Cell] (Nuclei) MaxX (SD),[Cell] (Nuclei) MinY (AVG),[Cell] (Nuclei) MinY (SD),[Cell] (Nuclei) MaxY (AVG),[Cell] (Nuclei) MaxY (SD),[Cell] (Nuclei) Diameter (AVG),[Cell] (Nuclei) Diameter (SD),[Cell] (Nuclei) Circumference (AVG),[Cell] (Nuclei) Circumference (SD),[Cell] (Nuclei) Circularity (AVG),[Cell] (Nuclei) Circularity (SD),[Cell] (Nuclei) Compactness (AVG),[Cell] (Nuclei) Compactness (SD),[Cell] (Nuclei) Anisometry (AVG),[Cell] (Nuclei) Anisometry (SD),[Cell] (Nuclei) MeanIntensity CH1 (AVG),[Cell] (Nuclei) MeanIntensity CH1 (SD),[Cell] (Nuclei) MeanIntensity CH2 (AVG),[Cell] (Nuclei) MeanIntensity CH2 (SD),[Cell] (Foci (Nuclei)) COUNT (AVG),[Cell] (Foci (Nuclei)) COUNT (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (SD),[Cell] Focci intensity norm (AVG),[Cell] Focci intensity norm (SD)
1,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,128,6,8,F,8,F-08,NT,0,1,Test,,0,0,uM,2023-02-09 15:28:42 +01:00,1,0,,756,221.9159,50.6495,-41.0815,641.3180,-123.1791,633.9117,96.4198,56.7029,113.7618,56.6898,96.9361,56.2698,114.4115,56.3567,20.0242,2.6937,58.2680,6.5937,0.700343,0.101350,1.247973,0.202444,1.419526,0.240723,304.8723,36.4465,827.3706,157.4597,20.79,5.56,27490.64,6983.66,21470.24,7481.11,1274.9370,211.1513,1155.2180,242.2200,132.825146,53.836536
57,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,129,6,9,F,9,F-09,siCON1 ,0,2,Test,,0,0,uM,2023-02-09 15:31:34 +01:00,1,0,,1075,208.6882,48.5194,0.8183,628.8604,-93.7352,612.0590,101.5825,58.1466,118.7299,58.2226,101.8336,58.8191,118.9651,58.7934,19.8431,2.7431,57.8638,6.9196,0.669920,0.100168,1.305722,0.147837,1.481075,0.280044,377.8705,45.2299,857.6100,159.0422,20.39,5.59,28785.47,7173.12,22573.01,7730.71,1316.6656,225.0262,1194.5947,253.6093,148.121681,62.315910
19,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,130,6,10,F,10,F-10,siCON2,0,3,Test,,0,0,uM,2023-02-09 15:34:26 +01:00,1,0,,1040,246.8754,64.3259,-42.0589,628.4441,-45.1130,618.9646,96.2335,58.7532,114.9061,58.9737,97.6682,57.7727,116.4712,57.7434,22.1481,3.5269,63.2618,8.0378,0.637821,0.111808,1.332136,0.254706,1.552970,0.362421,400.7202,50.5904,885.6123,166.3258,19.63,5.69,31455.28,8028.66,24932.28,8354.42,1403.3749,247.9658,1276.6136,267.0284,137.545223,55.333092
41,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,131,6,11,F,11,F-11,siLuc,0,4,Test,,0,0,uM,2023-02-09 15:37:18 +01:00,1,0,,914,238.5507,50.7467,-16.0759,624.3019,51.0370,611.6995,93.6226,58.2314,111.7631,58.4390,101.3119,58.3469,119.5058,58.4007,21.2671,2.8331,60.5154,6.3589,0.673400,0.109433,1.243273,0.125600,1.502852,0.292344,399.6970,45.2437,934.7753,160.5105,18.99,5.43,33152.51,8565.73,26482.87,9253.62,1461.4445,259.7513,1342.6921,297.8852,145.283209,49.603599
6,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,132,6,12,F,12,F-12,siPLK1,0,5,Test,,0,0,uM,2023-02-09 15:40:10 +01:00,1,0,,76,148.2892,69.9030,207.7240,634.2205,-204.7618,646.6952,90.0098,57.9363,105.5587,58.8291,114.6746,55.2748,129.9286,54.6020,18.9382,4.2996,58.1766,14.8182,0.511519,0.145437,2.061070,0.864166,1.800904,0.667487,464.8698,86.3962,572.8309,199.7313,18.95,5.71,15815.68,7044.61,12726.81,5164.07,922.0068,307.0470,854.9577,307.3023,138.662724,100.801839
3,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,133,6,13,F,13,F-13,siDDX17,0,6,Test,,0,0,uM,2023-02-09 15:43:01 +01:00,1,0,,675,233.9287,46.5732,12.7201,635.3679,19.3259,668.4987,93.6267,59.0023,111.5414,59.1774,101.2823,59.5743,119.3346,59.5855,20.9605,2.7784,60.0532,5.9953,0.681709,0.112280,1.247414,0.143162,1.480273,0.308560,397.9876,43.2342,991.9690,139.9449,17.98,5.38,36849.53,9060.82,30165.98,11052.02,1579.4945,266.8360,1467.4906,335.3212,164.451891,55.916528
5,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,134,6,14,F,14,F-14,siSETX,0,7,Test,,0,0,uM,2023-02-09 15:45:53 +01:00,1,0,,839,162.2824,43.8982,-46.6335,601.0230,-90.3793,628.2433,100.5688,59.3148,115.6037,59.6495,102.8060,58.2540,117.8421,58.3872,17.6065,2.7233,50.4601,6.9666,0.662500,0.119726,1.283380,0.170437,1.508088,0.343880,483.2588,67.0713,686.8489,156.4215,20.78,5.37,18944.69,4808.57,15055.14,3946.97,1014.7400,170.5586,934.9741,160.8158,127.977965,58.063955
15,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,135,6,15,F,15,F-15,siMSH3,0,8,Test,,0,0,uM,2023-02-09 15:48:45 +01:00,1,0,,436,238.7461,47.3843,7.5034,609.1291,104.8442,618.3792,93.0030,58.9914,111.0030,58.9454,98.5171,57.8622,117.0604,57.9044,21.6362,2.7281,61.2791,6.7816,0.652590,0.104266,1.276517,0.229544,1.545665,0.302933,378.7909,49.0423,964.4827,136.8686,17.12,4.84,38060.84,10569.53,31973.91,13899.25,1570.5157,294.0115,1505.1493,419.7201,166.257885,58.943634
25,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,136,6,16,F,16,F-16,siTHOC1,0,9,Test,,0,0,uM,2023-02-09 15:51:37 +01:00,1,0,,1167,208.6664,48.1765,14.1465,635.1324,-79.1417,620.1450,101.0280,57.6416,117.9188,57.7660,101.7938,57.3309,118.7791,57.3769,19.5747,2.7631,56.7516,6.6663,0.689742,0.108034,1.262610,0.241585,1.437783,0.272344,406.2578,53.1595,641.7721,138.3983,20.29,5.63,22204.15,5350.46,18414.61,5478.05,1079.2800,170.5154,1018.0183,179.6934,115.091593,51.218324
24,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,137,6,17,F,17,F-17,NT,0,10,Test,,0,0,uM,2023-02-09 15:54:28 +01:00,1,0,,651,216.4468,49.9777,-105.7286,575.7681,-25.2191,589.4957,99.8067,57.5942,116.8404,57.9218,99.8677,57.4251,117.1744,57.3802,19.7309,2.6887,57.4912,6.6331,0.703397,0.101755,1.241647,0.131207,1.427844,0.256437,376.9927,52.5672,771.3840,147.3148,21.82,5.43,26518.34,6779.07,20447.60,7212.74,1230.4918,202.1238,1115.0494,231.4860,131.253007,53.758816
17,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,152,7,8,G,8,G-08,NT,0,1,Test,,0,0,uM,2023-02-09 16:24:16 +01:00,1,0,,607,208.5305,48.4719,-51.5790,652.1632,-206.8182,635.7491,97.3455,57.2743,114.3549,57.4021,104.2163,58.7990,121.1045,58.6863,19.7126,2.8242,56.6312,6.7476,0.680928,0.111724,1.251953,0.138154,1.477920,0.310677,412.4115,57.2892,622.3893,126.8549,21.69,5.43,20444.66,4562.82,16560.86,4771.32,1027.2818,150.6195,954.0476,157.4473,107.513768,55.409221
8,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,153,7,9,G,9,G-09,siCON1 ,0,2,Test,,0,0,uM,2023-02-09 16:21:25 +01:00,1,0,,959,192.3847,46.4722,-106.3388,629.7833,-152.3768,624.8833,97.5686,56.9581,113.9845,56.8933,101.7113,58.3248,118.2257,58.4618,19.2737,2.8586,55.4042,6.9743,0.657451,0.108561,1.299489,0.165079,1.515159,0.316446,437.5827,56.9693,705.7349,148.8131,20.16,5.59,22631.24,6128.95,17926.92,5971.57,1117.2964,198.6527,1024.1050,203.2437,126.707882,55.721966
45,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,154,7,10,G,10,G-10,siCON2,0,3,Test,,0,0,uM,2023-02-09 16:18:33 +01:00,1,0,,1173,208.3360,59.5681,16.9514,627.1059,-76.6642,633.6671,99.1757,58.1899,116.7561,58.0723,102.4481,57.0502,119.6129,57.1702,20.6668,3.6887,58.8697,8.5559,0.618398,0.114811,1.369168,0.219286,1.588684,0.394824,441.1859,61.7390,637.6534,141.8919,19.49,5.66,20774.23,5484.06,16591.32,5041.90,1044.9415,171.6077,971.8669,173.1135,110.224618,49.143854
38,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,155,7,11,G,11,G-11,siLuc,0,4,Test,,0,0,uM,2023-02-09 16:15:41 +01:00,1,0,,1073,204.4125,48.0163,35.1737,618.4524,-57.5486,633.9233,99.1287,59.0590,115.9940,58.9261,100.3491,58.1385,117.4589,58.3288,20.1607,3.0192,56.7980,6.8728,0.643906,0.121314,1.285298,0.166951,1.580689,0.369323,455.2391,58.7551,860.9836,162.7345,19.24,5.51,28694.86,7146.97,22450.94,7824.08,1307.4542,215.1810,1195.8283,253.2119,150.520503,63.046187
16,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,156,7,12,G,12,G-12,siPLK1,0,5,Test,,0,0,uM,2023-02-09 16:12:49 +01:00,1,0,,64,160.8960,65.2741,-66.6401,665.8121,-120.7265,516.8854,110.1077,58.5605,126.4354,59.5446,97.0432,65.4300,112.7799,66.1694,19.3606,4.5578,61.3190,18.4561,0.534834,0.133982,2.085686,1.217083,1.690210,0.642625,469.6645,98.2027,502.6645,184.8993,18.19,5.40,16775.42,11098.27,13959.88,9281.92,944.9691,419.7757,862.5226,325.0271,140.380532,178.254240
11,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,157,7,13,G,13,G-13,siDDX17,0,6,Test,,0,0,uM,2023-02-09 16:09:58 +01:00,1,0,,1077,210.9180,45.8089,-3.3156,609.4761,-73.3064,609.5984,99.3287,56.2173,116.4027,56.2183,101.1238,58.6839,118.1477,58.7772,19.7972,2.6786,56.9757,6.0636,0.685303,0.104509,1.247438,0.132419,1.461766,0.292109,415.2596,49.2553,915.2751,145.4837,20.11,5.59,31097.14,7299.40,23794.46,8307.09,1391.0416,218.3549,1249.5762,267.5182,155.144863,53.051541
54,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,158,7,14,G,14,G-14,siSETX,0,7,Test,,0,0,uM,2023-02-09 16:07:06 +01:00,1,0,,1027,184.9882,45.5234,-10.3837,607.3946,-111.6192,607.0344,100.1771,57.1013,116.1845,57.2408,99.8670,58.7952,116.0229,58.8768,18.7627,2.6518,53.8761,6.5314,0.664251,0.110041,1.281224,0.167846,1.501771,0.321982,436.6680,61.4293,777.2832,169.9781,21.24,5.58,23713.23,6226.57,17924.24,5782.03,1168.2275,208.8362,1044.3832,204.8719,136.914745,53.380200
13,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,159,7,15,G,15,G-15,siMSH3,0,8,Test,,0,0,uM,2023-02-09 16:04:14 +01:00,1,0,,683,238.8145,49.3463,93.5998,628.6199,-63.0978,638.7504,90.1195,58.1017,108.1776,58.3962,99.0516,59.3975,117.2415,59.4100,21.1161,2.6220,60.6051,6.1073,0.682283,0.102618,1.247243,0.170831,1.468961,0.265930,375.0426,46.5583,966.1860,140.3532,18.03,5.35,37241.28,9962.80,30189.93,12247.34,1564.8361,287.2739,1446.6981,376.2451,163.968035,60.677533
12,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,160,7,16,G,16,G-16,siTHOC1,0,9,Test,,0,0,uM,2023-02-09 16:01:22 +01:00,1,0,,1358,210.9517,52.0698,-26.5550,617.9256,-28.3846,633.7749,98.2300,58.4832,115.3428,58.6396,103.0460,56.4565,119.9673,56.6017,19.5398,2.6913,57.1719,7.0117,0.697830,0.105095,1.265517,0.185963,1.422025,0.261671,389.7646,51.4397,654.1806,129.6803,20.85,5.43,22119.02,5141.26,17994.51,5519.21,1082.4974,161.0314,1011.1379,178.1217,113.314835,46.073423
30,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,161,7,17,G,17,G-17,NT,0,10,Test,,0,0,uM,2023-02-09 15:58:30 +01:00,1,0,,884,202.9581,50.2468,112.7665,583.0423,-65.4994,596.2673,100.2625,58.0355,116.8798,58.1738,103.5022,58.4894,120.1878,58.4261,19.1358,2.6874,55.8932,7.1637,0.699920,0.101696,1.255176,0.171370,1.423086,0.250805,347.0893,47.4005,835.4654,164.2810,22.12,5.38,27230.16,7069.76,20087.45,7675.57,1259.5205,215.2008,1120.8280,261.3221,145.024852,59.184103
27,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,176,8,8,H,8,H-08,NT,0,1,Test,,0,0,uM,2023-02-09 16:27:08 +01:00,1,0,,667,213.8238,46.7568,-57.5782,631.2587,-89.0568,603.7371,101.2711,56.0419,118.4017,55.9952,95.7439,59.0123,112.8375,59.2809,19.8063,2.7244,57.1276,6.3745,0.693791,0.105947,1.236662,0.121878,1.445154,0.275563,404.6714,58.2679,620.8982,141.9094,20.82,5.42,20479.93,5078.83,16669.07,5089.73,1035.3335,169.6031,965.6875,180.0925,102.552973,45.013866
35,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,177,8,9,H,9,H-09,siCON1 ,0,2,Test,,0,0,uM,2023-02-09 16:31:10 +01:00,1,0,,902,210.4510,54.4959,12.3877,643.9520,-182.0344,597.1962,97.4536,57.7845,114.3181,57.7846,99.7239,59.3800,116.7435,59.3867,19.4661,2.8401,56.6648,7.3397,0.701456,0.108499,1.243884,0.140335,1.422913,0.273097,404.7587,54.2039,777.3101,147.5682,21.55,5.70,24531.34,5644.62,18879.69,5779.18,1185.0486,181.7936,1064.8914,201.0023,127.201415,58.896927
14,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,178,8,10,H,10,H-10,siCON2,0,3,Test,,0,0,uM,2023-02-09 16:34:01 +01:00,1,0,,1051,205.7844,55.8166,-27.7394,654.1571,-224.3798,634.2152,100.1356,57.0859,117.3846,57.0196,101.1714,57.7821,118.3007,57.5453,20.4598,3.3727,58.1502,8.2209,0.623236,0.113512,1.346406,0.193632,1.585277,0.378138,436.7255,54.0111,766.3254,154.7416,19.73,5.60,26306.54,6921.13,20600.26,7110.76,1218.9605,209.8378,1121.7114,234.9810,138.822672,57.596523
26,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,179,8,11,H,11,H-11,siLuc,0,4,Test,,0,0,uM,2023-02-09 16:36:53 +01:00,1,0,,966,212.9177,48.5502,-34.9756,629.5877,-48.5308,631.6054,96.1199,58.2733,113.3727,58.4767,100.6637,56.8978,117.9696,56.8298,20.3256,2.9458,57.8960,6.6262,0.657893,0.114679,1.282588,0.198709,1.526303,0.336485,433.7200,56.7372,877.2866,162.5212,19.93,5.57,30064.61,7555.92,23439.65,8354.76,1349.3405,224.6061,1232.9002,275.0648,149.252256,54.258938
