ID,MeasurementTitle,PlateName,WellID,Row,Column,RowName,ColumnName,WellName,Compound,Dose,GraphSeriesNo,ControlType,CellName,SampleVolume,ReagentVolume,Unit,DateTime,Timepoint,ElapsedTime,Description,[Cell] Count,[Cell] (Nuclei) Area (AVG),[Cell] (Nuclei) Area (SD),[Cell] (Nuclei) X-CoordinateInWell (AVG),[Cell] (Nuclei) X-CoordinateInWell (SD),[Cell] (Nuclei) Y-CoordinateInWell (AVG),[Cell] (Nuclei) Y-CoordinateInWell (SD),[Cell] (Nuclei) MinX (AVG),[Cell] (Nuclei) MinX (SD),[Cell] (Nuclei) MaxX (AVG),[Cell] (Nuclei) MaxX (SD),[Cell] (Nuclei) MinY (AVG),[Cell] (Nuclei) MinY (SD),[Cell] (Nuclei) MaxY (AVG),[Cell] (Nuclei) MaxY (SD),[Cell] (Nuclei) Diameter (AVG),[Cell] (Nuclei) Diameter (SD),[Cell] (Nuclei) Circumference (AVG),[Cell] (Nuclei) Circumference (SD),[Cell] (Nuclei) Circularity (AVG),[Cell] (Nuclei) Circularity (SD),[Cell] (Nuclei) Compactness (AVG),[Cell] (Nuclei) Compactness (SD),[Cell] (Nuclei) Anisometry (AVG),[Cell] (Nuclei) Anisometry (SD),[Cell] (Nuclei) MeanIntensity CH1 (AVG),[Cell] (Nuclei) MeanIntensity CH1 (SD),[Cell] (Nuclei) MeanIntensity CH2 (AVG),[Cell] (Nuclei) MeanIntensity CH2 (SD),[Cell] (Foci (Nuclei)) COUNT (AVG),[Cell] (Foci (Nuclei)) COUNT (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) TotalIntensity CH2 MEDIAN (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 AVG (SD),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (AVG),[Cell] (Foci (Nuclei)) MeanIntensity CH2 MEDIAN (SD),[Cell] Focci intensity norm (AVG),[Cell] Focci intensity norm (SD)
1,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,128,6,8,F,8,F-08,NT,0,1,Test,,0,0,uM,2023-02-09 15:28:42 +01:00,1,0,,537,319.9897,46.5470,-76.8296,617.3096,-14.1281,656.8784,97.5314,56.6363,118.2330,56.7145,98.8884,58.2237,119.7768,58.1666,23.8921,2.4173,69.0805,6.3789,0.719659,0.104344,1.197318,0.182399,1.413949,0.253637,311.6101,34.8002,910.2893,139.1014,63.29,8.28,27165.02,5473.97,20092.00,4591.28,1335.9804,202.3944,1152.7142,178.8457,86.527169,20.677774
57,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,129,6,9,F,9,F-09,siCON1 ,0,2,Test,,0,0,uM,2023-02-09 15:31:34 +01:00,1,0,,279,305.7240,47.0688,109.0807,647.5816,136.9487,666.8137,89.8945,57.2945,110.3052,57.3049,97.4954,56.2089,117.8459,56.2970,23.2019,2.2894,68.1582,5.6719,0.724835,0.098075,1.219683,0.110966,1.380123,0.220764,376.9792,36.4053,933.5366,140.0780,61.33,7.75,28925.29,6033.17,20875.74,4649.18,1390.1170,214.5421,1184.1531,171.4540,96.250401,22.679126
19,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,130,6,10,F,10,F-10,siCON2,0,3,Test,,0,0,uM,2023-02-09 15:34:26 +01:00,1,0,,109,354.1193,46.8450,-56.0575,533.3928,258.6025,600.6678,91.6186,57.4968,113.7000,57.1700,105.4231,59.8456,127.7901,60.2446,25.7228,2.3412,74.0997,5.7076,0.687307,0.106495,1.246721,0.174835,1.458657,0.278836,393.9485,35.7934,940.6954,137.2209,59.13,6.70,30609.87,6031.73,22109.73,4657.04,1432.0155,204.7106,1220.4062,175.9931,87.991597,20.809434
41,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,131,6,11,F,11,F-11,siLuc,0,4,Test,,0,0,uM,2023-02-09 15:37:18 +01:00,1,0,,84,315.4274,40.8255,66.3935,689.9078,368.8763,464.7559,96.1277,61.0869,116.3293,60.6128,102.0893,60.5453,123.3428,61.2384,24.3035,2.2577,68.8771,4.6271,0.686467,0.104003,1.203792,0.073442,1.481760,0.250946,396.5190,39.8370,984.4329,126.7111,59.85,7.34,30460.94,6137.80,23434.00,5925.11,1453.3408,224.5101,1275.7420,206.3842,97.543364,19.957324
6,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,132,6,12,F,12,F-12,siPLK1,0,5,Test,,0,0,uM,2023-02-09 15:40:10 +01:00,1,0,,15,275.7998,81.4193,97.9117,614.4047,-85.1341,627.1553,94.0836,65.8617,114.9823,65.6178,87.8477,54.1391,106.8642,55.1818,22.6900,3.6274,73.4742,12.9199,0.675148,0.119416,1.641188,0.518226,1.397025,0.379114,460.1421,59.3888,826.9370,189.8742,63.13,9.69,24289.78,6447.36,18232.57,4031.95,1293.6526,263.1469,1117.8002,187.8843,93.085261,27.955538
3,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,133,6,13,F,13,F-13,siDDX17,0,6,Test,,0,0,uM,2023-02-09 15:43:01 +01:00,1,0,,21,327.5127,47.7946,-0.8336,590.9280,364.9024,658.1833,86.8512,65.6241,109.2452,65.3268,109.4761,64.6092,129.3352,64.1718,24.5272,2.8879,69.8408,5.6907,0.702567,0.107419,1.191053,0.064301,1.449105,0.251741,390.6737,42.3818,1021.7491,118.4072,59.86,6.93,34511.96,5952.94,26678.81,7337.27,1553.0046,197.7795,1355.3290,229.7913,107.936118,26.596579
5,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,134,6,14,F,14,F-14,siSETX,0,7,Test,,0,0,uM,2023-02-09 15:45:53 +01:00,1,0,,360,250.9050,45.3135,-127.6396,608.6801,-108.8106,668.5648,94.7050,55.9389,113.1668,56.0606,97.2389,53.6213,115.9066,53.7341,21.5160,2.3147,61.5898,5.5119,0.694129,0.111654,1.216419,0.096676,1.465563,0.290928,466.7909,57.2908,780.5483,144.8278,61.45,7.88,20974.55,4952.73,16035.80,3881.48,1122.2685,192.8292,995.4326,164.3020,86.191599,24.815337
15,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,135,6,15,F,15,F-15,siMSH3,0,8,Test,,0,0,uM,2023-02-09 15:48:45 +01:00,1,0,,30,329.1346,51.2359,40.3168,600.0432,102.6702,657.7819,93.5448,64.3487,115.0397,64.5417,107.3707,60.7754,128.2801,61.0794,24.3875,2.1244,70.2928,4.8148,0.705918,0.103087,1.205490,0.071863,1.428495,0.253043,371.6977,47.6630,1049.9505,113.6784,61.23,7.79,33331.64,6923.38,26052.10,6496.76,1539.6685,217.6439,1350.3843,212.9169,102.176556,18.966627
25,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,136,6,16,F,16,F-16,siTHOC1,0,9,Test,,0,0,uM,2023-02-09 15:51:37 +01:00,1,0,,436,305.6154,44.8470,4.1406,647.1522,-138.1716,616.6931,92.3586,57.8083,112.7872,58.1210,92.0195,54.8890,112.3582,55.0549,23.6253,2.2148,67.7450,5.4919,0.702895,0.105958,1.206101,0.157814,1.450397,0.257956,428.3611,46.6551,780.0964,131.5498,61.49,8.02,23760.62,5039.88,17747.11,4114.83,1201.1445,188.7182,1042.4190,165.9863,79.626443,21.320988
24,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,137,6,17,F,17,F-17,NT,0,10,Test,,0,0,uM,2023-02-09 15:54:28 +01:00,1,0,,745,299.0640,43.8060,-18.7087,624.5242,-40.3756,604.1037,99.1876,57.0042,119.3732,56.8822,100.5805,56.6447,120.5382,56.6980,23.1075,2.3123,66.7143,4.8613,0.717837,0.103736,1.193075,0.075714,1.414664,0.238226,385.3803,45.0870,862.6664,139.9712,64.77,8.70,25732.10,5172.98,18412.41,4027.51,1276.5557,194.7564,1086.5903,162.4628,87.441159,19.739746
17,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,152,7,8,G,8,G-08,NT,0,1,Test,,0,0,uM,2023-02-09 16:24:16 +01:00,1,0,,662,293.4892,45.9976,-93.2088,666.8979,-74.9517,629.1475,99.9122,55.8966,119.9675,55.7030,98.5891,57.2861,118.7471,57.4375,23.5040,2.6552,66.6669,5.2664,0.684741,0.115865,1.215757,0.094783,1.500874,0.312641,430.8522,56.1382,736.0893,129.5368,65.43,8.46,21456.31,4390.56,15851.30,3231.45,1119.5613,169.8314,968.2996,138.2561,75.031916,19.771164
9,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,153,7,9,G,9,G-09,siCON1 ,0,2,Test,,0,0,uM,2023-02-09 16:21:25 +01:00,1,0,,544,278.0027,43.9775,-20.8943,625.8489,-77.3181,615.3861,95.9668,58.2270,115.3200,58.1717,92.9122,55.6889,112.5640,55.7228,22.5695,2.4992,64.9626,5.5196,0.701272,0.110974,1.219255,0.108839,1.448774,0.277622,441.3505,49.8593,824.7374,142.9734,62.69,8.09,24364.39,5194.54,17913.58,4144.46,1231.1449,199.1672,1067.8462,170.8886,89.962749,24.658053
45,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,154,7,10,G,10,G-10,siCON2,0,3,Test,,0,0,uM,2023-02-09 16:18:33 +01:00,1,0,,267,319.1257,45.9714,38.9627,529.3888,33.2644,621.3715,107.6157,57.8648,128.5877,58.0542,87.4815,53.7970,109.1683,54.1693,25.1518,2.6754,71.3605,5.8216,0.649853,0.111881,1.283352,0.155685,1.545033,0.321839,439.7274,50.8545,743.2194,137.9513,61.19,7.64,22696.07,4821.23,16599.23,3594.16,1150.1876,177.6340,1000.2174,148.1288,72.769546,19.456907
38,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,155,7,11,G,11,G-11,siLuc,0,4,Test,,0,0,uM,2023-02-09 16:15:41 +01:00,1,0,,181,280.8513,43.8361,63.3353,582.1882,49.7377,573.1717,94.5753,58.5161,114.1922,58.5644,99.7801,57.2200,119.5190,56.7826,23.1396,2.4911,65.4539,5.6236,0.675295,0.112998,1.225694,0.140459,1.508356,0.298368,429.0096,55.1599,928.1627,146.3595,59.80,7.42,28097.77,5312.14,21253.27,5151.76,1354.7896,197.1262,1190.3474,192.5260,101.820587,22.210319
16,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,156,7,12,G,12,G-12,siPLK1,0,5,Test,,0,0,uM,2023-02-09 16:12:49 +01:00,1,0,,12,265.4051,53.8721,180.7102,765.0815,-209.6446,665.1958,105.3106,50.5762,124.9952,51.9103,86.7396,60.8723,105.3106,61.5779,21.7212,2.1823,71.6155,12.6708,0.702648,0.111298,1.627980,0.718432,1.328249,0.226180,463.6014,52.7397,685.1313,177.0956,61.42,8.43,20378.28,5715.88,16032.17,4316.35,1148.4765,270.6630,1018.4164,239.1214,78.656436,24.500263
11,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,157,7,13,G,13,G-13,siDDX17,0,6,Test,,0,0,uM,2023-02-09 16:09:58 +01:00,1,0,,342,299.6869,42.8968,-26.8228,629.5044,10.2022,632.6743,88.0408,59.2521,108.2229,59.4783,100.7520,57.5755,121.1316,57.7538,23.5221,2.5048,67.4562,5.4355,0.697432,0.111284,1.218488,0.128511,1.458980,0.262783,412.5289,45.4629,1007.9828,120.8521,61.33,7.83,31545.01,5279.65,23198.10,5010.09,1493.8332,197.6283,1275.9350,180.3260,106.839628,20.702664
54,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,158,7,14,G,14,G-14,siSETX,0,7,Test,,0,0,uM,2023-02-09 16:07:06 +01:00,1,0,,622,270.9823,43.4489,69.7465,654.4444,53.4159,633.9387,91.8557,56.4866,111.2782,56.7467,95.9219,59.3110,115.0931,59.4395,22.4769,2.5167,64.2427,5.7193,0.689733,0.112724,1.223711,0.127926,1.478274,0.304273,432.4823,52.7869,833.0552,156.3245,62.21,8.13,24184.22,5086.55,17672.20,4146.73,1229.6107,198.4319,1058.8817,172.9229,91.510694,23.931048
13,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,159,7,15,G,15,G-15,siMSH3,0,8,Test,,0,0,uM,2023-02-09 16:04:14 +01:00,1,0,,43,325.4143,45.3810,161.0469,643.6995,-92.9983,730.4592,71.6644,57.8561,93.1040,57.8306,108.1782,54.5292,128.8736,54.5809,24.7478,2.3882,70.0532,5.1152,0.683620,0.102080,1.207041,0.069280,1.502303,0.259632,383.9783,41.3018,1076.0814,96.6110,61.65,8.07,34578.99,4972.20,26398.55,5137.14,1617.5944,170.4769,1398.4347,179.6349,108.308271,22.144312
12,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,160,7,16,G,16,G-16,siTHOC1,0,9,Test,,0,0,uM,2023-02-09 16:01:22 +01:00,1,0,,685,309.0230,48.6585,79.3138,602.9728,-45.1111,641.5057,94.2498,58.1988,114.5091,58.1373,92.8260,56.7902,113.2870,56.8598,23.1346,2.1466,67.8244,5.5481,0.736167,0.093924,1.194417,0.098756,1.365343,0.204112,401.4686,43.9477,761.2382,124.3415,61.64,8.13,23068.14,4306.36,16818.82,3396.38,1172.2242,163.2007,1010.5737,140.2602,76.741626,19.689052
30,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,161,7,17,G,17,G-17,NT,0,10,Test,,0,0,uM,2023-02-09 15:58:30 +01:00,1,0,,955,295.2348,45.7737,68.9889,622.3905,-117.4753,629.3019,98.9713,55.7235,118.8765,55.9196,101.2819,56.3184,121.2205,56.1547,22.5519,2.1452,66.1533,5.0232,0.741329,0.100086,1.190216,0.098370,1.369632,0.224135,356.2366,43.3235,898.1152,151.1993,64.30,8.38,26324.22,5383.31,18639.31,4180.95,1304.2293,207.0974,1106.7857,171.6670,90.825539,21.207016
27,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,176,8,8,H,8,H-08,NT,0,1,Test,,0,0,uM,2023-02-09 16:27:08 +01:00,1,0,,647,306.6345,45.3402,-49.8696,647.8703,15.1596,641.2794,97.3204,57.3524,117.7364,57.3429,97.7543,54.6017,118.2123,54.6069,23.7532,2.4590,67.8356,5.2631,0.698385,0.104857,1.202769,0.082617,1.461719,0.263951,416.3587,50.7265,732.1574,136.9760,64.89,8.41,21642.36,4558.91,16073.10,3460.90,1126.8258,177.2397,978.7530,151.4845,72.256606,19.391776
35,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,177,8,9,H,9,H-09,siCON1 ,0,2,Test,,0,0,uM,2023-02-09 16:31:10 +01:00,1,0,,717,305.2739,49.4174,-54.7091,590.7242,-3.9858,587.4867,96.4980,55.7835,116.7511,55.8509,96.1400,57.8738,116.4344,57.9784,23.1106,2.2792,67.3058,5.3646,0.730562,0.102002,1.190982,0.084382,1.388016,0.233409,416.5697,52.9109,859.5646,130.1459,63.65,8.63,25417.54,4865.35,18907.55,4061.28,1275.1743,183.5052,1102.0914,158.8059,85.166275,20.130856
14,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,178,8,10,H,10,H-10,siCON2,0,3,Test,,0,0,uM,2023-02-09 16:34:01 +01:00,1,0,,370,318.8340,46.3210,-39.7800,587.7255,126.7499,564.4726,99.4834,56.7947,120.6179,56.6350,94.7760,55.9652,115.9390,55.9706,24.7845,2.5675,70.5365,5.8795,0.668692,0.117231,1.254099,0.159251,1.513587,0.308273,424.7145,46.9918,840.5021,145.3212,62.34,8.28,26715.10,5491.30,18569.08,4138.28,1288.0202,196.6801,1084.8575,163.9820,84.989674,18.856983
26,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,179,8,11,H,11,H-11,siLuc,0,4,Test,,0,0,uM,2023-02-09 16:36:53 +01:00,1,0,,204,297.3844,53.2090,80.7906,475.0988,160.5111,584.1694,102.5922,62.2624,122.7290,62.1029,96.0943,59.9009,116.3087,60.1857,23.5231,2.5052,66.9641,5.5638,0.689418,0.113526,1.213346,0.095901,1.487771,0.278672,426.2911,40.9679,968.7312,128.7651,60.06,7.64,29673.97,5082.76,21707.16,4589.96,1408.0222,181.7777,1212.3447,172.0321,102.522582,23.850880
23,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,180,8,12,H,12,H-12,siPLK1,0,5,Test,,0,0,uM,2023-02-09 16:39:44 +01:00,1,0,,25,286.8516,90.7321,-185.4141,625.5025,-50.1582,738.8804,112.5986,44.3129,132.3966,44.0877,91.7401,55.7857,112.8615,55.5661,23.7617,4.0816,77.7880,20.0418,0.637707,0.108988,1.837950,1.066504,1.441801,0.231818,477.8523,55.5426,687.3869,216.2955,65.60,8.83,19180.55,6814.81,14990.64,5046.34,1096.2639,323.0929,968.5196,256.5441,71.525703,31.468077
8,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,181,8,13,H,13,H-13,siDDX17,0,6,Test,,0,0,uM,2023-02-09 16:42:35 +01:00,1,0,,253,306.9859,50.1186,148.6677,558.8538,28.9459,612.0213,93.0103,58.7871,113.4152,58.7417,97.1223,54.7366,117.4084,54.7280,23.5187,2.4965,67.5338,5.5980,0.712321,0.110505,1.191435,0.070230,1.433554,0.258557,435.0151,47.4661,920.4546,134.5802,61.08,8.39,29324.56,5363.49,21231.11,4743.66,1409.9382,209.3963,1185.3769,175.1274,97.821638,22.518587
22,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,182,8,14,H,14,H-14,siSETX,0,7,Test,,0,0,uM,2023-02-09 16:45:27 +01:00,1,0,,581,255.0921,41.5341,-60.0987,647.1317,-67.2987,591.6810,96.2463,56.6888,114.9090,56.6180,94.6631,55.3409,113.4139,55.6007,21.8233,2.4467,62.3122,5.2870,0.688371,0.109900,1.224015,0.121098,1.482264,0.294544,449.8290,55.7962,659.9983,121.1350,63.44,8.50,18693.52,3685.99,14303.50,2851.12,1016.7890,152.8676,900.1234,125.6552,75.598225,21.241355
21,Aurora 384_jd foci siRNA SP TP-JD035_20230209_152834,TP-JD035,183,8,15,H,15,H-15,siMSH3,0,8,Test,,0,0,uM,2023-02-09 16:48:19 +01:00,1,0,,210,310.4420,51.0535,45.8049,548.1525,-17.0215,598.3045,97.4765,58.6726,117.9632,58.7055,104.9927,57.3535,125.6856,57.6958,24.1179,2.4346,68.3515,5.4765,0.682524,0.098302,1.208375,0.074730,1.493537,0.242516,411.2518,43.7277,995.0975,137.9469,62.14,8.12,33059.08,5869.33,25025.81,5594.84,1539.6787,225.4704,1332.3134,214.6531,108.954970,24.392000
